TestID;Number of Peers;With Super-Peers;Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Total Duration from tracker-peer [s]
Test1;6;true;true;6162094;9.22;0.11;1.94;15.13;2.09;7.29;15.25;6.49;9.23;6.52;2.07;3.97;2.64;1.57;2.10;17.87
Test2;6;true;true;6162094;9.21;0.10;1.93;15.13;2.05;7.27;15.24;6.49;9.20;4.31;2.70;3.78;2.64;1.57;2.15;17.80
Test3;6;true;true;6162094;9.20;0.10;1.93;15.13;2.04;7.26;15.24;6.48;9.19;9.68;1.16;4.98;2.64;1.77;2.19;17.49
Test4;6;false;true;6162094;0.14;0.11;0.13;15.14;8.46;9.81;15.27;8.57;9.95;5.02;1.80;3.99;2.38;1.71;2.05;17.88
Test5;6;false;true;6162094;0.14;0.12;0.13;15.13;8.46;9.82;15.27;8.58;9.96;7.10;1.79;3.60;2.21;1.88;2.05;18.05
Test6;6;false;true;6162094;0.13;0.12;0.12;15.13;8.45;9.81;15.26;8.58;9.94;4.27;3.05;3.55;2.21;1.57;1.99;18.12
Test7;21;true;true;6162094;18.90;0.11;10.91;25.33;4.65;15.07;43.80;12.64;25.98;10.74;1.15;4.06;2.24;1.13;1.71;46.39
Test8;21;true;true;6162094;18.57;0.10;10.54;25.33;4.68;15.04;40.74;12.64;25.58;11.34;2.02;4.78;19.22;1.02;2.45;45.92
Test9;21;true;true;6162094;24.81;0.11;10.49;25.34;4.68;14.71;40.76;12.64;25.21;9.78;1.27;4.56;2.24;0.99;1.62;45.63
Test10;21;false;true;6162094;3.49;0.11;0.29;42.81;35.63;36.03;46.31;35.75;36.33;3146.35;1.73;153.73;100.00;1.79;6.88;49.12
Test11;21;false;true;6162094;3.32;0.10;0.29;42.60;35.63;36.02;45.92;35.73;36.31;663.12;1.60;45.23;100.00;1.08;6.68;48.73
Test12;21;false;true;6162094;4.93;0.11;0.37;35.74;35.63;35.65;40.60;35.74;36.03;7275.01;1.54;354.81;100.00;1.08;6.52;45.28
Test13;21;false;true;6162094;4.73;0.10;0.35;35.73;35.63;35.65;40.40;35.73;36.01;6879.89;1.87;326.95;100.00;1.79;6.55;44.81
Test14;21;false;true;6162094;5.11;0.11;0.57;46.08;35.63;36.17;46.22;35.74;36.74;;;;;;;51.38
Test15;21;false;true;6162094;0.94;0.11;0.17;46.09;35.63;36.21;46.22;35.75;36.38;6.77;2.26;3.48;2.51;1.08;2.15;49.65
Test16;21;false;true;6162094;5.67;0.11;0.41;35.89;35.63;35.66;41.34;35.75;36.08;9.51;1.68;3.79;2.51;1.79;2.04;46.11
