TestID;Number of Peers;With Super-Peers;Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Total Duration from tracker-peer [s]
Test1;6;true;;1042157;9.15;0.11;3.74;2.64;0.46;1.34;11.79;1.31;5.08;;;;;;;14.68
Test2;6;true;;1042157;6.19;0.11;1.33;2.64;0.46;1.34;6.65;1.30;2.67;;;;;;;9.34
Test3;6;true;;3197743;6.18;0.11;1.32;7.91;1.13;3.84;8.03;3.48;5.17;;;;;;;10.80
Test4;6;true;;5269767;9.23;0.11;1.94;12.97;1.78;6.26;13.09;5.60;8.20;;;;;;;15.45
Test5;6;true;;10705702;15.31;0.11;3.16;26.22;3.47;12.53;26.34;11.10;15.69;;;;;;;28.71
Test6;6;true;;15368312;18.34;0.11;3.76;37.59;4.89;17.93;37.70;15.82;21.69;;;;;;;40.59
Test7;6;true;;21408647;24.46;0.11;4.99;52.33;6.77;24.94;52.46;21.95;29.93;;;;;;;54.98
Test8;6;true;;32116471;36.61;0.10;7.41;78.46;10.07;37.33;78.58;32.78;44.74;;;;;;;81.29
Test9;6;false;;1042157;0.12;0.11;0.11;2.64;1.53;1.77;2.76;1.64;1.89;;;;;;;5.70
Test10;6;false;;3197743;0.12;0.11;0.12;7.92;4.44;5.14;8.05;4.56;5.26;;;;;;;10.96
Test11;6;false;;5269767;0.12;0.12;0.12;12.96;7.23;8.40;13.08;7.36;8.53;;;;;;;15.44
Test12;6;false;;10705702;0.13;0.11;0.12;26.24;14.58;16.95;26.38;14.71;17.07;;;;;;;29.11
Test13;6;false;;15368312;0.12;0.11;0.12;37.61;20.88;24.25;37.74;21.00;24.37;;;;;;;40.43
Test14;6;false;;21408647;0.12;0.11;0.11;52.33;29.05;33.74;52.45;29.17;33.85;;;;;;;55.53
Test15;6;false;;32116471;0.13;0.11;0.12;78.47;43.52;50.52;78.60;43.63;50.65;;;;;;;81.35
