TestID;Number of Peers;With Super-Peers;Total Duration from tracker-peer [s];Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%]
Test1;11;false;7.34;;1042157;0.14;0.11;0.12;3.51;2.99;3.25;3.66;3.10;3.37;;;;;;
Test2;11;false;13.38;;3197743;0.13;0.10;0.11;9.98;8.98;9.10;10.09;9.08;9.21;;;;;;
Test3;11;false;1125.77;;5269767;0.13;0.10;0.11;1122.28;14.75;125.52;1122.38;14.85;125.63;;;;;;
Test4;11;false;36.81;;10705702;0.14;0.10;0.12;33.19;29.88;30.22;33.30;29.98;30.34;;;;;;
Test5;11;false;50.07;;15368312;0.14;0.10;0.12;47.60;42.85;43.39;47.73;42.95;43.51;;;;;;
Test6;11;false;68.81;;21408647;0.13;0.10;0.11;66.28;59.66;60.34;66.39;59.77;60.46;;;;;;
Test7;11;false;102.27;;32116471;0.13;0.10;0.11;99.38;89.46;90.47;99.50;89.56;90.58;;;;;;
Test8;21;false;11.41;;1042157;0.16;0.10;0.13;6.10;6.06;6.08;6.26;6.17;6.21;;;;;;
Test9;11;true;10.75;;1042157;6.24;0.10;2.54;3.30;0.73;1.57;7.74;1.69;4.12;;;;;;
Test10;11;true;21.53;;3197743;9.25;0.11;4.08;9.94;2.05;4.59;19.17;4.72;8.67;;;;;;
Test11;11;true;31.87;;5269767;12.39;0.11;5.91;16.35;3.32;7.48;28.62;7.64;13.39;;;;;;
Test12;11;true;54.03;;10705702;18.51;0.11;9.25;33.13;6.65;15.06;51.49;15.28;24.31;;;;;;
Test13;11;true;75.00;;15368312;24.66;0.12;12.30;47.55;9.54;21.57;71.99;21.84;33.88;;;;;;
Test14;11;true;102.80;;21408647;33.91;0.13;16.93;66.22;13.21;30.00;99.88;30.37;46.93;;;;;;
Test15;11;true;151.95;;32116471;49.20;0.12;24.51;99.32;20.70;45.25;148.14;45.38;69.76;;;;;;
