TestID;Number of Peers;With Super-Peers;Total Duration [s];Same PDF File;Total Received Bytes;Maximum Connection Time [s];Minimum Connection Time [s];Average Connection Time [s];Maximum Transfer Time [s];Minimum Transfer Time [s];Average Transfer Time [s];Maximum Total Time [s];Minimum Total Time [s];Average Total Time [s];Maximum Latency Error Rate [%];Minimum Latency Error Rate [%];Average Latency Error Rate [%];Maximum Bandwidth Error Rate [%];Minimum Bandwidth Error Rate [%];Average Bandwidth Error Rate [%];Minimum Transfer Error Rate [%];Average Transfer Error Rate [%];Maximum Transfer Error Rate [%]
Test1;51;true;24.17;;1042157;18.44;0.11;3.73;15.36;0.81;8.82;21.62;10.31;12.55;;;;;;;1.17;4.18;55.92
Test2;51;true;59.51;;3197743;45.91;0.11;11.71;47.00;3.29;26.92;55.94;33.19;38.63;;;;;;;0.85;4.20;65.47
Test3;51;true;88.02;;5269767;64.23;0.11;17.01;77.40;3.96;44.23;80.34;54.59;61.25;;;;;;;0.79;2.05;25.32
Test4;51;true;166.99;;10705702;119.19;0.12;32.56;157.20;7.06;89.71;157.37;110.74;122.27;;;;;;;0.74;1.11;10.09
Test5;51;true;231.19;;15368312;168.15;0.11;46.07;225.78;10.02;128.75;225.94;158.91;174.82;;;;;;;0.74;.97;6.35
Test6;51;true;321.81;;21408647;228.18;0.11;62.94;314.46;13.95;179.29;314.60;221.30;242.24;;;;;;;0.73;.85;2.82
Test7;51;true;477.83;;32116471;339.22;0.11;94.14;471.63;20.85;268.91;471.77;331.88;363.05;;;;;;;0.71;.78;1.84
Test8;51;false;26.67;;1042157;3.34;0.10;0.21;15.43;15.34;15.37;18.72;15.45;15.59;;;;;;;1.04;1.25;1.61
Test9;51;false;58.31;;3197743;3.24;0.12;0.22;47.03;46.98;47.00;50.23;47.11;47.22;;;;;;;0.82;0.87;0.93
Test10;51;false;91.16;;5269767;3.26;0.12;0.22;77.45;77.39;77.41;80.67;77.52;77.63;;;;;;;0.78;0.80;0.86
Test11;51;false;169.92;;10705702;0.32;0.14;0.20;157.31;157.17;157.22;157.59;157.35;157.42;;;;;;;0.75;0.77;0.84
Test12;51;false;237.48;;15368312;3.32;0.13;0.25;225.76;225.59;225.66;228.95;225.76;225.91;;;;;;;0.73;0.76;0.81
Test13;51;false;403.34;;21408647;0.26;0.13;0.18;396.99;314.24;317.02;397.14;314.39;317.21;;;;;;;0.73;1.61;27.25
Test14;51;false;580.22;;32116471;0.32;0.13;0.16;570.31;471.35;478.60;570.46;471.50;478.77;;;;;;;0.71;2.26;21.86
Test15;6;false;5.11;;1042157;0.13;0.12;0.12;2.64;1.53;1.77;2.77;1.65;1.89;;;;;;;4.71;9.86;13.37
Test16;6;false;11.04;;3197743;0.12;0.11;0.12;7.90;4.44;5.14;8.02;4.55;5.26;;;;;;;2.00;3.46;4.17
Test1;6;false;15.86;;5269767;0.12;0.11;0.12;12.96;7.24;8.39;13.09;7.36;8.51;;;;;;;1.58;2.34;2.57
Test1;6;true;9.19;;1042157;6.20;0.11;1.34;2.64;0.50;1.35;6.70;1.31;2.69;;;;;;;4.79;21.20;57.05
Test1;6;true;9.62;;1042157;6.18;0.10;1.32;2.64;0.46;1.36;6.64;1.34;2.69;;;;;;;4.91;20.92;45.45
Test1;6;true;9.48;;1042157;6.21;0.10;1.34;2.64;0.44;1.34;6.65;1.31;2.69;;;;;;;4.91;17.81;38.87
Test1;6;true;9.39;;1042157;6.18;0.10;1.33;2.63;0.47;1.35;6.66;1.30;2.68;;;;;;;4.55;20.61;48.90
Test1;6;true;8.89;;1042157;6.17;0.11;2.56;2.65;0.45;1.34;6.62;1.30;3.90;;;;;;;5.03;18.60;42.31
Test1;6;true;10.81;;3197743;6.16;0.10;1.31;7.90;1.12;3.83;8.01;3.47;5.15;;;;;;;2.05;6.45;14.78
Test1;6;true;15.69;;5269767;9.20;0.10;1.92;12.96;1.76;6.23;13.07;5.58;8.16;;;;;;;1.51;4.29;9.40
Test1;6;true;28.82;;10705702;15.33;0.10;3.15;26.23;3.45;12.54;26.34;11.11;15.70;;;;;;;1.13;2.58;5.17
Test1;6;true;39.98;;15368312;18.33;0.10;3.75;37.60;4.89;17.93;37.71;15.82;21.68;;;;;;;0.99;1.94;3.77
Test1;6;true;9.14;;1042157;6.17;0.11;1.33;2.63;0.49;1.36;6.67;1.33;2.69;;;;;;;4.55;22.00;55.79
Test1;76;true;46.66;;1042157;21.70;0.12;7.50;31.68;2.20;6.15;34.99;2.53;13.66;;;;;;;0.93;6.35;35.98
